dealer_id,dealer_name,city,state,region,dealer_type,year_established,is_active
DLR-TX-001,TX Equipment Co.,Dallas,TX,Southwest,Authorized Dealer,1985,True
DLR-NM-002,All Seasons Santa Fe,Santa Fe,NM,Southwest,Service Center,1995,True
DLR-OK-003,Oklahoma City Lawn & Garden,Oklahoma City,OK,Southwest,Authorized Dealer,1997,True
DLR-OK-004,Norman Chainsaw & More,Norman,OK,Southwest,Authorized Dealer,1997,True
DLR-AZ-005,Pro Equipment Mesa,Mesa,AZ,Southwest,Authorized Dealer,2013,True
DLR-NM-006,NM Power Equipment,Santa Fe,NM,Southwest,Authorized Dealer,1996,True
DLR-AZ-007,Scottsdale Power Equipment,Scottsdale,AZ,Southwest,Authorized Dealer,1997,True
DLR-OK-008,Oklahoma City Power Equipment,Oklahoma City,OK,Southwest,Authorized Dealer,1996,True
DLR-NM-009,All Seasons Las Cruces,Las Cruces,NM,Southwest,Service Center,1986,True
DLR-TX-010,Austin Hardware & Power,Austin,TX,Southwest,Premium Dealer,1997,True
DLR-AZ-011,Mesa Power Equipment,Mesa,AZ,Southwest,Authorized Dealer,1987,True
DLR-OK-012,All Seasons Norman,Norman,OK,Southwest,Authorized Dealer,1997,True
DLR-NM-013,Albuquerque Outdoor Power,Albuquerque,NM,Southwest,Authorized Dealer,1997,True
DLR-NM-014,NM Equipment Co.,Albuquerque,NM,Southwest,Authorized Dealer,1997,True
DLR-OK-015,Adams's Equipment,Norman,OK,Southwest,Authorized Dealer,2020,True
DLR-NM-016,Santa Fe Outdoor Power,Santa Fe,NM,Southwest,Authorized Dealer,2014,True
DLR-TX-017,Allen's Power Equipment,Dallas,TX,Southwest,Authorized Dealer,2004,True
DLR-OK-018,Hill's Power Equipment,Tulsa,OK,Southwest,Premium Dealer,1999,True
DLR-TX-019,Lubbock Outdoor Power,Lubbock,TX,Southwest,Authorized Dealer,2001,True
DLR-OK-020,Taylor's Power Equipment,Oklahoma City,OK,Southwest,Premium Dealer,1997,True
DLR-NM-021,Santa Fe Rental & Sales,Santa Fe,NM,Southwest,Premium Dealer,1990,True
DLR-TX-022,Fort Worth Equipment Sales,Fort Worth,TX,Southwest,Premium Dealer,2018,True
DLR-NM-023,Santa Fe Lawn & Garden,Santa Fe,NM,Southwest,Premium Dealer,1987,True
DLR-NM-024,Las Cruces Hardware & Power,Las Cruces,NM,Southwest,Premium Dealer,2011,True
DLR-AZ-025,Premier Equipment Mesa,Mesa,AZ,Southwest,Authorized Dealer,2012,True
DLR-AL-026,King's Equipment,Birmingham,AL,Southeast,Premium Dealer,2013,True
DLR-SC-027,Columbia Chainsaw & More,Columbia,SC,Southeast,Authorized Dealer,2001,True
DLR-NC-028,Pro Equipment Raleigh,Raleigh,NC,Southeast,Authorized Dealer,2015,True
DLR-AL-029,Birmingham Hardware & Power,Birmingham,AL,Southeast,Authorized Dealer,1996,True
DLR-FL-030,Jacksonville Power Equipment,Jacksonville,FL,Southeast,Authorized Dealer,1986,True
DLR-SC-031,Lewis's Power Equipment,Greenville,SC,Southeast,Service Center,1985,True
DLR-NC-032,Greensboro Hardware & Power,Greensboro,NC,Southeast,Authorized Dealer,2000,True
DLR-NC-033,Charlotte Lawn & Garden,Charlotte,NC,Southeast,Service Center,1993,True
DLR-FL-034,Premier Equipment Jacksonville,Jacksonville,FL,Southeast,Authorized Dealer,1989,True
DLR-AL-035,Birmingham Rental & Sales,Birmingham,AL,Southeast,Authorized Dealer,1991,True
DLR-AL-036,Young's Power Equipment,Mobile,AL,Southeast,Authorized Dealer,2014,True
DLR-SC-037,SC Power Equipment,Charleston,SC,Southeast,Service Center,2015,True
DLR-GA-038,Athens Power Equipment,Athens,GA,Southeast,Authorized Dealer,1985,True
DLR-NC-039,Raleigh Chainsaw & More,Raleigh,NC,Southeast,Authorized Dealer,2002,True
DLR-SC-040,Charleston Lawn & Garden,Charleston,SC,Southeast,Authorized Dealer,1992,True
DLR-GA-041,Nelson's Power Equipment,Savannah,GA,Southeast,Authorized Dealer,1998,True
DLR-FL-042,Premier Equipment Tallahassee,Tallahassee,FL,Southeast,Authorized Dealer,2013,True
DLR-NC-043,Raleigh Rental & Sales,Raleigh,NC,Southeast,Authorized Dealer,1991,True
