snapshot_date,product_id,product_name,category,warehouse_id,region,quantity_on_hand,quantity_available,quantity_reserved,reorder_point,days_of_supply,status
2024-01-01,MS-271,MS 271 Farm Boss,Chainsaws,WH-TX-01,Southwest,146,131,15,30,48.0,NORMAL
2024-01-01,MS-461,MS 461,Chainsaws,WH-TX-01,Southwest,135,118,17,30,45.9,NORMAL
2024-01-01,MS-462,MS 462 C-M,Chainsaws,WH-TX-01,Southwest,134,124,10,30,47.9,NORMAL
2024-01-01,MS-500i,MS 500i,Chainsaws,WH-TX-01,Southwest,140,132,8,30,45.5,NORMAL
2024-01-01,MS-661,MS 661 C-M,Chainsaws,WH-TX-01,Southwest,153,132,21,30,47.8,NORMAL
2024-01-01,MS-881,MS 881,Chainsaws,WH-TX-01,Southwest,146,130,16,30,46.5,NORMAL
2024-01-01,FS-91,FS 91 R,Trimmers,WH-TX-01,Southwest,168,151,17,40,44.9,NORMAL
2024-01-01,FS-111,FS 111 R,Trimmers,WH-TX-01,Southwest,209,198,11,40,49.1,NORMAL
2024-01-01,FS-131,FS 131 R,Trimmers,WH-TX-01,Southwest,149,131,18,40,45.7,NORMAL
2024-01-01,FS-240,FS 240,Trimmers,WH-TX-01,Southwest,149,135,14,40,46.0,NORMAL
2024-01-01,FS-560,FS 560 C-EM,Trimmers,WH-TX-01,Southwest,158,136,22,40,47.3,NORMAL
2024-01-01,FS-FSA 135,FSA 135,Trimmers,WH-TX-01,Southwest,195,174,21,40,46.4,NORMAL
2024-01-01,BG-BR 430,BR 430,Blowers,WH-TX-01,Southwest,133,124,9,35,45.9,NORMAL
2024-01-01,BG-BR 600,BR 600,Blowers,WH-TX-01,Southwest,169,151,18,35,46.9,NORMAL
2024-01-01,BG-BR 700,BR 700,Blowers,WH-TX-01,Southwest,195,178,17,35,46.9,NORMAL
2024-01-01,BG-BR 800,BR 800 C-E,Blowers,WH-TX-01,Southwest,150,129,21,35,47.8,NORMAL
2024-01-01,BG-BGA 200,BGA 200,Blowers,WH-TX-01,Southwest,187,161,26,35,46.8,NORMAL
2024-01-01,HS-82,HS 82 R,Hedge Trimmers,WH-TX-01,Southwest,100,90,10,20,47.2,NORMAL
2024-01-01,HS-87,HS 87 R,Hedge Trimmers,WH-TX-01,Southwest,89,77,12,20,46.4,NORMAL
2024-01-01,HS-HL 91,HL 91 K,Hedge Trimmers,WH-TX-01,Southwest,92,83,9,20,47.9,NORMAL
